Folder;File;Program Version;SMILES;Atoms_1;Atoms_2;Atoms_3;Atoms_4;dihedral_1_orca;dihedral_2_orca;dihedral_3_orca;dihedral_4_orca;dihedral_1_xtb;dihedral_2_xtb;dihedral_3_xtb;dihedral_4_xtb;Number of Atoms;Magnitude (Debye);Dipole_xtb (Debye);Final Energy (Eh);Total energy xtb (Eh);HOMO_orca (eV);LUMO_orca (eV);HOMO-LUMO Gap (eV);HOMO_xtb (eV);LUMO_xtb (eV);HOMO-LUMO xtb (eV)
Group 3;26.log;6.0.0;OC1=C2C=CC=C1SC3=CC=CC(SC4=C(C(SC(C=CC=C5S2)=C5OCCCCCCCCCCCC)=CC=C4)OCCCCCCCCCCCC)=C3OCCCCCCCCCCCC;20-19-17-27;29-15-13-12;10-9-6-7;3-4-23-22;-15,703;24,571;56,664;-79,899;-38,746;53,348;-25,854;7,974;156;2.18095319;2,015;-4227.20889129673;-202,683208;-6,070502;-0,99546;5.0751165798;-9,7035;-7,0519;2,65164
Group 4;27.log;6.0.0;CC(C)(C)C1=CC(CC2=C3)=C(OCC#C)C(CC4=CC(C(C)(C)C)=CC(CC5=CC(C(C)(C)C)=CC(CC(C=C3C(C)(C)C)=C2OCC#C)=C5OCC#C)=C4OCC#C)=C1;6-7-9-10;39-38-36-35;29-28-26-25;19-18-16-60;-31,283;27,485;-29,748;30,456;-32,048;30,218;-31,657;30,654;124;0.106970861;0,94;-2468.536510294144;-168,605617;-6,099482;-0,23777;5.861798153800001;-9,7494;-5,8616;3,88773
Group 4;28.log;6.0.0;CC(C)(C1=CC(CC2=C(C(CC(C=C(C=C3C4)C(C)(C)C)=C3OCC#C)=CC(C(C)(C)C)=C2)OCC#C)=C(OCC#C)C(CC5=CC(C(C)(C)C)=CC4=C5OCC#C)=C1)C;13-12-10-27;33-8-6-5;59-43-46-45;53-52-16-15;-34,623;39,959;-8,869;-1,996;-38,968;47,172;-15,016;-3,091;124;0.206701967;0,747;-2471.204365578828;-168,6093788;-6,223972;-0,274994;5.9490651136;-9,7333;-5,7557;3,97759
Group 4;29.log;6.0.0;CC(C1=CC2=C(OCC#C)C(CC3=CC(C(C)(C)C)=CC(CC4=CC(C(C)(C)C)=CC(CC5=CC(C(C)(C)C)=CC(C2)=C5OCC#C)=C4OCC#C)=C3OCC#C)=C1)(C)C;20-21-24-23;31-30-33-34;40-41-4-5;11-58-13-14;11,694;-3,765;-4,564;-3,292;16,024;-8,872;9,704;-18,348;124;0.572993358;0,262;-2468.578839477605;-168,603465;-6,088216;-0,162885;5.925418407;-9,8469;-5,6635;4,183397
Group 4;30.log;5.0.4;C#CCOC1=C2C=CC=C1CC3=CC=CC(CC4=CC=CC(CC(C=CC=C5C2)=C5OCC#C)=C4OCC#C)=C3OCC#C;7-6-28-27;25-24-22-21;19-18-16-15;13-12-10-9;-32,27;33,939;-38,01;40,091;-40,929;42,249;-49,213;52,476;76;1.26939;1,339;-1840.18692741;-117,9411446;-6,272163;-0,327865;5.9443847528000004;-9,8668;-6,0409;3,825908
Group 4;31.log;6.0.0;OC1=C(SC2=C(C(S3)=CC(C(C)(C)C)=C2)OCCC#CC#CCCOC4=C(SC1=C5)C=C(C(C)(C)C)C=C4SC6=CC(C(C)(C)C)=CC3=C6O)C=C5C(C)(C)C;31-27-29-30;51-3-5-15;9-7-48-47;41-40-38-37;-25,073;45,157;-45,158;24,331;-25,217;41,619;-52,489;27,083;110;5.613834449;7,048;-3750.239039491037;-159,5323784;-5,631534;-1,259924;4.3716746784;-9,2919;-7,12;2,171814
Group 4;32.log;6.0.0;OC1=C(CC2=C(C(CC3=C(O)C(CC4=CC(C(C)(C)C)=CC(CC1=C5)=C4OCC=C)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)OCC=C)C=C5C(C)(C)C;44-5-3-49;25-24-22-21;15-14-12-31;37-9-7-38;-23,609;23,455;-23,404;22,958;-24,959;25,747;-25,226;25,067;118;0.566599797;0,951;-2240.6828780528;-156,0134106;-5,607779;-0,33709;5.2707665458;-9,5515;-5,9356;3,615933
Group 4;33.log;6.0.0;OC1=C(CC2=C(C(CC3=C(O)C(C4)=CC=C3)=CC=C2)OCC=C)C=CC=C1CC5=C(OCC=C)C4=CC=C5;14-12-35-36;38-29-27-26;24-3-5-19;17-7-9-16;22,634;-22,541;22,846;-22,599;30,117;-29,88;30,118;-29,885;70;1.607826569;0,594;-1612.820392583267;-105,3479224;-5,792623;-0,371457;5.4212455878000005;-9,8038;-6,1136;3,690242
Group 4;34.log;6.0.0;OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4OCC=C)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)OCC=C)C=C5C(C)(C)C;38-7-9-37;31-12-14-15;21-22-24-25;49-3-5-44;-47,936;21,293;-20,989;46,718;-53,719;24,446;-24,015;50,261;110;5.745126383;7,386;-3675.421897743889;-156,3144504;-5,643371;-1,26972;4.3737155333999995;-9,3449;-7,2248;2,120124
Group 4;35.log;6.0.0;CC(C1=CC2=C(OCC=C)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCC=C)=C4OCC=C)=C3OCC=C)=C1)(C)C;4-5-40-41;33-34-31-30;24-23-20-21;13-14-11-58;65,886;-64,715;65,843;-64,248;50,667;-45,994;50,675;-45,996;124;0.018056307;0;-3908.369459939334;-173,1715706;-5,779644;-0,675785;5.103933452400001;-9,566;-6,5661;2,999945
Group 4;36.log;5.0.4;CC(C1=CC2=C(OCC#C)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCC#C)=C4OCC#C)=C3OCC#C)=C1)(C)C;52-53-15-16;12-13-10-27;33-8-5-6;43-59-45-46;-3,057;0,475;2,337;1,459;7,973;-6,558;7,27;-7,178;116;0.19628;0,013;-3902.49399683;-168,9138536;-6,105713;-0,852684;5.2531063472;-9,5941;-6,6797;2,914346
Group 4;36_iso.log;6.0.0;CC(C)(C1=CC(SC2=C(C(SC(C=C(C=C3S4)C(C)(C)C)=C3OCC#C)=CC(C(C)(C)C)=C2)OCC#C)=C(OCC#C)C(SC5=CC(C(C)(C)C)=CC4=C5OCC#C)=C1)C;13-12-10-27;33-8-6-5;59-43-46-45;53-52-16-15;-38,709;52,17;-18,599;-5,201;-20,618;24,883;0,542;0,964;116;1.57791279;3,376;-3903.270340418624;-168,9144091;-6,077359;-0,866861;5.210574929000001;-9,4895;-6,8921;2,597452
Group 4;37_iso.log;6.0.0;C#CCOC1=C(SC2=CC=CC(S3)=C2OCC#C)C=CC=C1SC4=C(OCC#C)C(SC5=CC=CC3=C5OCC#C)=CC=C4;21-22-44-24;30-42-32-33;35-36-12-11;9-8-6-19;-4,128;13,386;-51,526;44,437;-28,793;29,646;-63,245;60,192;68;1.15324879;1,801;-3277.826751201268;-118,2456899;-6,217822;-1,041419;5.176479044800001;-9,744;-7,0376;2,706391
Group 4;37.log;5.0.4;C#CCOC1=C(S2)C=CC=C1SC(C=CC=C3SC4=C(OCC#C)C(SC5=CC=CC2=C5OCC#C)=CC=C4)=C3OCC#C;11-12-35-36;32-33-30-42;44-24-21-22;6-19-8-9;-5,806;5,952;-6,123;6,182;14,858;-14,86;14,857;-14,848;68;0.01716;0,001;-3275.05084824;-118,2385288;-6,188026;-0,933147;5.2549567224;-9,7818;-6,8879;2,893952
Group 4;38.log;5.0.4;BrC1=CC(SC2=CC(Br)=CC(SC3=C(OCC#C)C(SC4=CC(Br)=CC(SC5=C1)=C4OCC#C)=CC(Br)=C3)=C2OCC#C)=C5OCC#C;28-29-3-4;7-6-9-10;13-14-38-16;22-35-24-25;-13,553;13,027;-13,196;14,066;15,593;-15,589;15,693;-15,708;68;0.06176;0,001;-13566.91174433;-132,5695167;-6,608572;-1,404795;5.2038537132;-10,5745;-7,808;2,766472
