outer_fold,repeat_id,split_id,model,target,MAE,RMSE,R2,MedAE,Q90_AE,Q95_AE,Max_AE,n_samples,best_params_json,best_inner_score,energy_target_mode,weight_scheme
2,1,2,KernelRidge,delta_homo,0.11863004792042643,0.19341109040596347,-0.34745030639598284,0.06845499077564376,0.2004613033126347,0.417085075105411,0.7563974607696311,43,"{""alpha"": 0.2056841264562588, ""gamma"": 0.03661851837242761}",0.12135187223985466,,
2,1,2,RandomForest,HOMO,0.13471343176004955,0.21085616948397948,0.42217895870492117,0.084177933474467,0.3142300511112789,0.49787326053045544,0.7092228811607226,43,"{""n_estimators"": 991, ""max_depth"": 13, ""min_samples_split"": 3, ""min_samples_leaf"": 4, ""max_features"": null}",0.11976050426925194,,
2,1,2,RandomForest,delta_homo,0.13471343176004957,0.2108561694839795,-0.6014841176763532,0.084177933474467,0.3142300511112788,0.497873260530455,0.7092228811607231,43,"{""n_estimators"": 991, ""max_depth"": 13, ""min_samples_split"": 3, ""min_samples_leaf"": 4, ""max_features"": null}",0.11976050426925194,,
2,1,2,XGBoost,HOMO,0.12663678190719255,0.18856151924222878,0.5379096867118554,0.08260952252197296,0.27132991809997653,0.37902493565063505,0.6355822115020757,43,"{""n_estimators"": 437, ""max_depth"": 8, ""learning_rate"": 0.020009850562797655, ""subsample"": 0.7884622456513516, ""colsample_bytree"": 0.8107555790723847, ""min_child_weight"": 1, ""reg_alpha"": 0.000394725666118094, ""reg_lambda"": 9.62821298507154, ""gamma"": 1.0370284631846697e-07}",0.12714920654362996,,
2,1,2,XGBoost,delta_homo,0.12663678190719255,0.18856151924222878,-0.28072576935656923,0.08260952252197296,0.27132991809997653,0.37902493565063505,0.6355822115020757,43,"{""n_estimators"": 437, ""max_depth"": 8, ""learning_rate"": 0.020009850562797655, ""subsample"": 0.7884622456513516, ""colsample_bytree"": 0.8107555790723847, ""min_child_weight"": 1, ""reg_alpha"": 0.000394725666118094, ""reg_lambda"": 9.62821298507154, ""gamma"": 1.0370284631846697e-07}",0.12714920654362996,,
2,1,2,LinearRegression,LUMO,0.20141369950240368,0.47120473341996516,0.5796511426203819,0.10108333489400367,0.2649669117169428,0.45652241693580575,2.85740689468454,43,{},0.17187278304870945,,
2,1,2,LinearRegression,delta_lumo,0.20141369950240376,0.4712047334199652,0.1353207795039384,0.10108333489400412,0.26496691171694314,0.4565224169358056,2.85740689468454,43,{},0.17187278304870945,,
2,1,2,Ridge,LUMO,0.19609412280187782,0.4848181586284555,0.5550119607262662,0.0865275328224509,0.34275773822597105,0.38083923926592883,2.9713313798923178,43,"{""alpha"": 200.82425091347827}",0.14112846102898496,,
2,1,2,Ridge,delta_lumo,0.1960941228018779,0.4848181586284555,0.08463671501836756,0.08652753282245129,0.34275773822597133,0.38083923926592866,2.9713313798923178,43,"{""alpha"": 200.82425091347827}",0.14112846102898496,,
2,1,2,ElasticNet,LUMO,0.1975779451142549,0.4806515002337032,0.5626277883993158,0.08838568287562487,0.31562727152849207,0.4287318254269467,2.9385207372604274,43,"{""alpha"": 0.25442936193066673, ""l1_ratio"": 0.08669682440113624}",0.1454266981340602,,
2,1,2,ElasticNet,delta_lumo,0.19757794511425492,0.4806515002337032,0.10030286426596202,0.0883856828756251,0.31562727152849235,0.4287318254269465,2.9385207372604274,43,"{""alpha"": 0.25442936193066673, ""l1_ratio"": 0.08669682440113624}",0.1454266981340602,,
2,1,2,KernelRidge,LUMO,0.18172350840073812,0.48748858394053024,0.5500963858523495,0.08982194482623651,0.23770927093903643,0.4070960486072669,3.021061204777827,43,"{""alpha"": 0.3120336121540571, ""gamma"": 0.03613178168220268}",0.13320794794192,,
2,1,2,KernelRidge,delta_lumo,0.18172350840073814,0.4874885839405302,0.07452512466752292,0.08982194482623651,0.23770927093903654,0.4070960486072667,3.021061204777827,43,"{""alpha"": 0.3120336121540571, ""gamma"": 0.03613178168220268}",0.13320794794192,,
2,1,2,RandomForest,LUMO,0.16480050302491853,0.47863585671777253,0.5662883947499742,0.07956676206495938,0.21616265100748697,0.3205140416174607,3.031554789611304,43,"{""n_estimators"": 971, ""max_depth"": 18, ""min_samples_split"": 5, ""min_samples_leaf"": 4, ""max_features"": ""sqrt""}",0.12850483146899602,,
2,1,2,RandomForest,delta_lumo,0.16480050302491858,0.47863585671777253,0.10783291981449339,0.07956676206495938,0.21616265100748697,0.32051404161746055,3.031554789611304,43,"{""n_estimators"": 971, ""max_depth"": 18, ""min_samples_split"": 5, ""min_samples_leaf"": 4, ""max_features"": ""sqrt""}",0.12850483146899602,,
2,1,2,XGBoost,LUMO,0.1676821684130292,0.4879272658699666,0.5492863017011169,0.0905491365966804,0.20630797813110338,0.38215991886901823,3.0746221806030274,43,"{""n_estimators"": 369, ""max_depth"": 6, ""learning_rate"": 0.011529154253320593, ""subsample"": 0.8067003150134944, ""colsample_bytree"": 0.8086491815909258, ""min_child_weight"": 1, ""reg_alpha"": 3.44948085977957e-05, ""reg_lambda"": 5.579355990706504, ""gamma"": 0.003338514764141829}",0.12995131090297254,,
2,1,2,XGBoost,delta_lumo,0.1676821684130292,0.4879272658699666,0.07285873990133007,0.09054913659667996,0.20630797813110358,0.38215991886901807,3.0746221806030274,43,"{""n_estimators"": 369, ""max_depth"": 6, ""learning_rate"": 0.011529154253320593, ""subsample"": 0.8067003150134944, ""colsample_bytree"": 0.8086491815909258, ""min_child_weight"": 1, ""reg_alpha"": 3.44948085977957e-05, ""reg_lambda"": 5.579355990706504, ""gamma"": 0.003338514764141829}",0.12995131090297254,,
2,1,2,LinearRegression,Final Energy,1880.4437277561137,2634.956638816258,0.7977142032227262,1387.6774793482064,3115.6629196042336,7104.513904778305,8510.159559243817,43,{},1904.5357625874153,delta_energy,none
2,1,2,LinearRegression,delta_energy,1880.4437277561137,2634.956638816258,0.7821345309351814,1387.6774793482064,3115.6629196042336,7104.513904778305,8510.159559243817,43,{},1904.5357625874153,delta_energy,none
2,1,2,Ridge,Final Energy,1825.548216900337,2540.708397723119,0.8119262903174889,1409.0034138095277,3062.7930974904248,5444.623837962676,8940.845008879482,43,"{""alpha"": 12.542289313131329}",1756.300788194691,delta_energy,none
2,1,2,Ridge,delta_energy,1825.548216900337,2540.7083977231187,0.7974412062955858,1409.003413809528,3062.7930974904248,5444.623837962676,8940.845008879483,43,"{""alpha"": 12.542289313131329}",1756.300788194691,delta_energy,none
2,1,2,ElasticNet,Final Energy,1845.015597751592,2550.997850350132,0.8103998702845799,1420.8144416677105,3119.495727596332,5344.386549822795,8662.517748542083,43,"{""alpha"": 0.038816301517758306, ""l1_ratio"": 0.5552073530160894}",1723.7836137172133,delta_energy,none
2,1,2,ElasticNet,delta_energy,1845.015597751592,2550.997850350132,0.7957972242575103,1420.8144416677096,3119.495727596332,5344.386549822795,8662.517748542083,43,"{""alpha"": 0.038816301517758306, ""l1_ratio"": 0.5552073530160894}",1723.7836137172133,delta_energy,none
2,1,2,KernelRidge,Final Energy,993.0278472447229,1376.4043399952197,0.9448036307222589,632.7259029884626,2420.3041440048505,2954.3028791954953,3768.934383949025,43,"{""alpha"": 0.05677455033860898, ""gamma"": 0.03536167026674886}",1301.1205874784594,delta_energy,none
2,1,2,KernelRidge,delta_energy,993.0278472447229,1376.4043399952197,0.9405525099885755,632.7259029884626,2420.3041440048505,2954.3028791954953,3768.934383949025,43,"{""alpha"": 0.05677455033860898, ""gamma"": 0.03536167026674886}",1301.1205874784594,delta_energy,none
2,1,2,RandomForest,Final Energy,868.2379772336533,1587.5098576825112,0.926573757156238,343.73220061118445,2358.890819946227,3049.5135058681058,5833.427864172674,43,"{""n_estimators"": 314, ""max_depth"": 12, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": null}",1123.4564349510633,delta_energy,none
2,1,2,RandomForest,delta_energy,868.2379772336533,1587.5098576825112,0.9209186057860651,343.73220061118445,2358.890819946227,3049.513505868106,5833.427864172673,43,"{""n_estimators"": 314, ""max_depth"": 12, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": null}",1123.4564349510633,delta_energy,none
2,1,2,XGBoost,Final Energy,836.0161786941071,1378.8375727648995,0.9446083039210438,471.0709162236044,2476.8162286205506,3213.8660221608047,4760.7948341425,43,"{""n_estimators"": 561, ""max_depth"": 7, ""learning_rate"": 0.04981723993356288, ""subsample"": 0.9093902086852331, ""colsample_bytree"": 0.8708114917695905, ""min_child_weight"": 2, ""reg_alpha"": 9.159158682146859e-07, ""reg_lambda"": 0.000500488269317364, ""gamma"": 1.3203909950946867e-05}",1238.5245186880552,delta_energy,none
2,1,2,XGBoost,delta_energy,836.0161786941075,1378.8375727648995,0.9403421394838459,471.0709162236044,2476.8162286205506,3213.866022160805,4760.7948341425,43,"{""n_estimators"": 561, ""max_depth"": 7, ""learning_rate"": 0.04981723993356288, ""subsample"": 0.9093902086852331, ""colsample_bytree"": 0.8708114917695905, ""min_child_weight"": 2, ""reg_alpha"": 9.159158682146859e-07, ""reg_lambda"": 0.000500488269317364, ""gamma"": 1.3203909950946867e-05}",1238.5245186880552,delta_energy,none
3,1,3,LinearRegression,HOMO,0.11939124892285453,0.17835965753824484,0.7761055525634243,0.06573715038662753,0.33553013523852476,0.40221936281916304,0.44864978417090384,42,{},0.1362000733312568,,
3,1,3,LinearRegression,delta_homo,0.1193912489228545,0.17835965753824484,0.39956578043752045,0.06573715038662753,0.3355301352385247,0.40221936281916265,0.4486497841709043,42,{},0.1362000733312568,,
3,1,3,Ridge,HOMO,0.1289543303604662,0.1840245683648147,0.7616573964139713,0.07864437296308058,0.36443737570026363,0.38622729545414497,0.47778371134350905,42,"{""alpha"": 40.111462017730425}",0.13242221729189813,,
3,1,3,Ridge,delta_homo,0.12895433036046616,0.18402456836481473,0.36081909662719003,0.0786443729630808,0.3644373757002632,0.3862272954541446,0.47778371134350905,42,"{""alpha"": 40.111462017730425}",0.13242221729189813,,
3,1,3,ElasticNet,HOMO,0.13359238534917728,0.19053981123218652,0.7444819850527326,0.08817334861024273,0.3617462057857178,0.3925983273600007,0.50155615335437,42,"{""alpha"": 0.3200180281825804, ""l1_ratio"": 0.06260194538485135}",0.1388114518228284,,
3,1,3,ElasticNet,delta_homo,0.13359238534917728,0.19053981123218658,0.31475853177431945,0.08817334861024273,0.36174620578571737,0.39259832736000116,0.5015561533543704,42,"{""alpha"": 0.3200180281825804, ""l1_ratio"": 0.06260194538485135}",0.1388114518228284,,
3,1,3,KernelRidge,HOMO,0.11341974387003416,0.15678300359967748,0.8269992347563379,0.07013807707788855,0.2800685283424791,0.3543612796389646,0.3916215305259785,42,"{""alpha"": 0.19072908007274333, ""gamma"": 0.013631009959332559}",0.1279953221703058,,
3,1,3,KernelRidge,delta_homo,0.11341974387003419,0.15678300359967748,0.5360511140312416,0.07013807707788855,0.2800685283424791,0.3543612796389646,0.3916215305259789,42,"{""alpha"": 0.19072908007274333, ""gamma"": 0.013631009959332559}",0.1279953221703058,,
3,1,3,RandomForest,HOMO,0.12585904357473632,0.18083786935294216,0.7698405417547268,0.06837655929864983,0.3383852497421346,0.40004499453260417,0.5044009076731566,42,"{""n_estimators"": 663, ""max_depth"": 14, ""min_samples_split"": 3, ""min_samples_leaf"": 2, ""max_features"": ""log2""}",0.12368990481631413,,
3,1,3,RandomForest,delta_homo,0.12585904357473635,0.18083786935294216,0.38276443981232966,0.06837655929865005,0.3383852497421346,0.40004499453260417,0.5044009076731562,42,"{""n_estimators"": 663, ""max_depth"": 14, ""min_samples_split"": 3, ""min_samples_leaf"": 2, ""max_features"": ""log2""}",0.12368990481631413,,
3,1,3,XGBoost,HOMO,0.12440542640976672,0.17365923084590842,0.7877509231807994,0.0792498160552979,0.3277543879974372,0.3738223779762276,0.43934247015380823,42,"{""n_estimators"": 1317, ""max_depth"": 5, ""learning_rate"": 0.002183003608558168, ""subsample"": 0.8818980143338182, ""colsample_bytree"": 0.7692996624447961, ""min_child_weight"": 2, ""reg_alpha"": 0.0006995975999717643, ""reg_lambda"": 1.3150135586307026, ""gamma"": 6.280834456423917e-07}",0.12350456238637451,,
3,1,3,XGBoost,delta_homo,0.12440542640976672,0.17365923084590842,0.43079602798593375,0.0792498160552979,0.3277543879974372,0.3738223779762276,0.43934247015380823,42,"{""n_estimators"": 1317, ""max_depth"": 5, ""learning_rate"": 0.002183003608558168, ""subsample"": 0.8818980143338182, ""colsample_bytree"": 0.7692996624447961, ""min_child_weight"": 2, ""reg_alpha"": 0.0006995975999717643, ""reg_lambda"": 1.3150135586307026, ""gamma"": 6.280834456423917e-07}",0.12350456238637451,,
3,1,3,LinearRegression,LUMO,0.1864980792262802,0.3306766962904612,0.8334489601384836,0.10354963783914528,0.379908835547354,0.5561711854561858,1.689461756641256,42,{},0.18177813513478752,,
3,1,3,LinearRegression,delta_lumo,0.18649807922628026,0.3306766962904612,0.010014708433514374,0.10354963783914561,0.37990883554735433,0.5561711854561858,1.689461756641256,42,{},0.18177813513478752,,
3,1,3,Ridge,LUMO,0.16772583843015734,0.3083502165576892,0.8551799530297223,0.10835330942765464,0.3287543728918146,0.4479571711671228,1.6390982769524252,42,"{""alpha"": 249.35614220943052}",0.15700561839435864,,
3,1,3,Ridge,delta_lumo,0.16772583843015734,0.3083502165576892,0.1391845013771671,0.10835330942765431,0.3287543728918142,0.44795717116712286,1.6390982769524252,42,"{""alpha"": 249.35614220943052}",0.15700561839435864,,
3,1,3,ElasticNet,LUMO,0.16332104042864495,0.30791378770262545,0.8555896100736026,0.10201560590358505,0.3226477063913699,0.4598220352353636,1.6514415361646817,42,"{""alpha"": 0.4996916158852556, ""l1_ratio"": 0.05798160956057619}",0.16196006112404235,,
3,1,3,ElasticNet,delta_lumo,0.163321040428645,0.3079137877026255,0.1416195173840641,0.10201560590358483,0.3226477063913699,0.45982203523536364,1.6514415361646817,42,"{""alpha"": 0.4996916158852556, ""l1_ratio"": 0.05798160956057619}",0.16196006112404235,,
3,1,3,KernelRidge,LUMO,0.16152901208353518,0.3018265465331411,0.8612429565295073,0.07284273724718426,0.3085747056883383,0.4728237959869428,1.5687302508001348,42,"{""alpha"": 0.1508736907331959, ""gamma"": 0.04768134246263183}",0.14911217198848886,,
3,1,3,KernelRidge,delta_lumo,0.16152901208353523,0.30182654653314117,0.17522320934617241,0.07284273724718471,0.3085747056883383,0.4728237959869428,1.5687302508001348,42,"{""alpha"": 0.1508736907331959, ""gamma"": 0.04768134246263183}",0.14911217198848886,,
3,1,3,RandomForest,LUMO,0.15284980082477434,0.2979664097854835,0.8647694592226931,0.08301521735653727,0.29309506573476374,0.4469914208401371,1.6193485855616405,42,"{""n_estimators"": 928, ""max_depth"": 12, ""min_samples_split"": 7, ""min_samples_leaf"": 4, ""max_features"": ""sqrt""}",0.1436491602476036,,
3,1,3,RandomForest,delta_lumo,0.15284980082477437,0.29796640978548355,0.1961848665044006,0.08301521735653727,0.293095065734764,0.44699142084013715,1.6193485855616405,42,"{""n_estimators"": 928, ""max_depth"": 12, ""min_samples_split"": 7, ""min_samples_leaf"": 4, ""max_features"": ""sqrt""}",0.1436491602476036,,
